id,name,description,avatar_url,timestamp,status
5,思思,多情感爽快思思,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747802709858.png,2025-05-21T04:45:05.850Z,updated
10,梓辛,通用场景少年梓辛,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747802747410.png,2025-05-21T04:45:40.914Z,updated
30,Smith,多语种Smith,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747802883379.png,2025-05-21T04:47:58.530Z,updated
32,Adam,多语种Adam,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747802897440.png,2025-05-21T04:48:12.654Z,updated
33,Sarah,多语种Sarah,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747802904333.png,2025-05-21T04:48:19.744Z,updated
35,和音,多语种和音,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747802917359.png,2025-05-21T04:48:32.572Z,updated
36,晴子,多语种晴子,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747802923594.png,2025-05-21T04:48:39.352Z,updated
51,春晖主播,专业的广告解说员春晖，声音标准富有磁性，能够准确传达产品信息。,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747974143712.png,2025-05-23T04:22:17.305Z,updated
61,常天逸,一位深沉冷静的悬疑故事讲述者，声音充满张力，引人入胜，专注于有声阅读中的悬疑类作品。,https://jazocztbwzavmtyprhye.supabase.co/storage/v1/object/public/guide-voices/generated-images/generated-image-1747974041474.png,2025-05-23T04:20:37.243Z,updated 
